'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21458'	'2018-12-20'	'16:44:00'	'Поіменне голосування про проект Закону про внесення змін до деяких законодавчих актів України щодо здійснення закупівлі продукції, робіт і послуг оборонного призначення за імпортом (№9122) - за основу'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21456'	'2018-12-20'	'16:35:00'	'Поіменне голосування про включення до порядку денного та розгляд проекту Закону про внесення змін до деяких законодавчих актів України щодо здійснення закупівлі продукції, робіт і послуг оборонного призначення за імпортом (№9122)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21457'	'2018-12-20'	'16:35:00'	'Поіменне голосування про розгляд за скороченою процедурою проекту Закону про внесення змін до деяких законодавчих актів України щодо здійснення закупівлі продукції, робіт і послуг оборонного призначення за імпортом (№9122)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21455'	'2018-12-20'	'16:34:00'	'Поіменне голосування про направлення на повторне друге читання проекту Закону про внесення змін до деяких законодавчих актів України щодо уточнення порядку передачі в оренду водних об'єктів у комплексі з земельними ділянками (№3157)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21454'	'2018-12-20'	'16:33:00'	'Поіменне голосування про повернення до розгляду проекту Закону про внесення змін до деяких законодавчих актів України щодо уточнення порядку передачі в оренду водних об'єктів у комплексі з земельними ділянками (№3157)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21452'	'2018-12-20'	'16:32:00'	'Поіменне голосування про направлення на повторне друге читання проекту Закону про внесення змін до деяких законодавчих актів України щодо уточнення порядку передачі в оренду водних об'єктів у комплексі з земельними ділянками (№3157)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21453'	'2018-12-20'	'16:32:00'	'Поіменне голосування про повернення до розгляду проекту Закону про внесення змін до деяких законодавчих актів України щодо уточнення порядку передачі в оренду водних об'єктів у комплексі з земельними ділянками (№3157)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21451'	'2018-12-20'	'16:30:00'	'Поіменне голосування про повернення до розгляду проекту Закону про внесення змін до деяких законодавчих актів України щодо уточнення порядку передачі в оренду водних об'єктів у комплексі з земельними ділянками (№3157)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21450'	'2018-12-20'	'16:27:00'	'Поіменне голосування про проект Закону про внесення змін до деяких законодавчих актів України щодо уточнення порядку передачі в оренду водних об'єктів у комплексі з земельними ділянками (№3157) - у другому читанні та в цілому'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21449'	'2018-12-20'	'16:20:00'	'Поіменне голосування про поправку №13 народного депутата Левченка Ю.В. до проекту Закону про внесення змін до деяких законодавчих актів України щодо уточнення порядку передачі в оренду водних об'єктів у комплексі з земельними ділянками (№3157)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21448'	'2018-12-20'	'16:18:00'	'Поіменне голосування про поправку №3 народного депутата Івченка В.Є. до проекту Закону про внесення змін до деяких законодавчих актів України щодо уточнення порядку передачі в оренду водних об'єктів у комплексі з земельними ділянками (№3157)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21446'	'2018-12-20'	'13:40:00'	'Поіменне голосування про проект Закону про внесення змін до Закону України "Про свободу совісті та релігійні організації" щодо назви релігійних організацій (об'єднань), які входять до структури (є частиною) релігійної організації (об'єднання), керівний центр (управління) якої знаходиться за межами України в державі, яка законом визнана такою, що здійснила військову агресію проти України та/або тимчасово окупувала частину території України (№5309) - за основу та в цілому'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21444'	'2018-12-20'	'13:19:00'	'Поіменне голосування про включення до порядку денного та розгляд проекту Закону про внесення змін до Закону України "Про свободу совісті та релігійні організації" щодо назви релігійних організацій (об'єднань), які входять до структури (є частиною) релігійної організації (об'єднання), керівний центр (управління) якої знаходиться за межами України в державі, яка законом визнана такою, що здійснила військову агресію проти України та/або тимчасово окупувала частину території України (№5309)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21445'	'2018-12-20'	'13:19:00'	'Поіменне голосування про розгляд за скороченою процедурою проекту Закону про внесення змін до Закону України "Про свободу совісті та релігійні організації" щодо назви релігійних організацій (об'єднань), які входять до структури (є частиною) релігійної організації (об'єднання), керівний центр (управління) якої знаходиться за межами України в державі, яка законом визнана такою, що здійснила військову агресію проти України та/або тимчасово окупувала частину території України (№5309)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21443'	'2018-12-20'	'13:16:00'	'Поіменне голосування про проект Закону про внесення змін до статті 80 Закону України "Про освіту" щодо забезпечення освітнього процесу належними умовами для праці та здобуття освіти (№9425) - за основу та в цілому'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21442'	'2018-12-20'	'11:54:00'	'Поіменне голосування про розгляд за скороченою процедурою проекту Закону про внесення змін до статті 80 Закону України "Про освіту" щодо забезпечення освітнього процесу належними умовами для праці та здобуття освіти (№9425)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21441'	'2018-12-20'	'11:53:00'	'Поіменне голосування про включеня до порядку денного та розгляд проекту Закону про внесення змін до статті 80 Закону України "Про освіту" щодо забезпечення освітнього процесу належними умовами для праці та здобуття освіти (№9425)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21440'	'2018-12-20'	'11:52:00'	'Поіменне голосування про включеня до порядку денного та розгляд проекту Закону про внесення змін до статті 80 Закону України "Про освіту" щодо забезпечення освітнього процесу належними умовами для праці та здобуття освіти (№9425)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21439'	'2018-12-20'	'11:51:00'	'Поіменне голосування про включеня до порядку денного та розгляд проекту Закону про внесення змін до статті 80 Закону України "Про освіту" щодо забезпечення освітнього процесу належними умовами для праці та здобуття освіти (№9425)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21437'	'2018-12-20'	'11:07:00'	'Поіменне голосування про проект Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121) - у другому читанні та в цілому'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21438'	'2018-12-20'	'11:07:00'	'Поіменне голосування про направлення на повторне друге читання проекту Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21436'	'2018-12-20'	'11:06:00'	'Поіменне голосування про повернення до розгляду проекту Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121)'	'Рішення-Прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21435'	'2018-12-20'	'11:00:00'	'Поіменне голосування про направлення на повторне друге читання проекту Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21434'	'2018-12-20'	'10:59:00'	'Поіменне голосування про проект Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121) - у другому читанні та в цілому'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21433'	'2018-12-20'	'10:58:00'	'Рейтингове голосування про направлення на повторне друге читання проекту Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21432'	'2018-12-20'	'10:54:00'	'Рейтингове голосування про проект Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21431'	'2018-12-20'	'10:42:00'	'Рейтингове голосування про проект Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21430'	'2018-12-20'	'10:17:00'	'Поіменне голосування про підтримку поправки №179 народного депутата Кулініча О.І. до проекту Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121)'	'Рішення-Не прийнято'
'http://w1.c1.rada.gov.ua/pls/radan_gs09/ns_golos?g_id=21429'	'2018-12-20'	'10:15:00'	'Поіменне голосування про поправку №159 народного депутата Мартовицького А.В. до проекту Закону про внесення змін до Земельного кодексу України та деяких інших законодавчих актів щодо протидії рейдерству (№8121)'	'Рішення-Не прийнято'
